name,url,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,color,cleavage,mohs,streak,gravity,luster,habit,varieties
Abelsonite,https://en.wikipedia.org/wiki/Abelsonite,C31H32N4Ni,C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>Ni,Abl,10.CA.20,Triclinic,,"Pink-purple, dark greyish purple, pale purplish red, reddish brown",Probable on {111},2–3,Pink,1.45,"Adamantine, sub-metallic",,
Abenakiite-(Ce),https://en.wikipedia.org/wiki/Abenakiite-(Ce),Na26Ce6(SiO3)6(PO4)6(CO3)6(S4+O2)O,Na<sub>26</sub>Ce<sub>6</sub>(SiO<sub>3</sub>)<sub>6</sub>(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(S<sup>4+</sup>O<sub>2</sub>)O,Abk-Ce,9.CK.10,Trigonal,Rhombohedral,Pale brown,"{0001}, poor",4-5,White,"3.21 (meas.), 3.27 (calc.)",Vitreous,,
Abernathyite,https://en.wikipedia.org/wiki/Abernathyite,K(UO2)(AsO4)·3H2O,K(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O,Abn,8.EB.15,Tetragonal,Ditetragonal dipyramidal,Yellow,Perfect on {001},2.5–3,Pale yellow,3.32 (measured) 3.572 (calculated),"Sub-Vitreous, resinous, waxy, greasy",,
Abhurite,https://en.wikipedia.org/wiki/Abhurite,Sn21O6(OH)14Cl16,Sn<sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>,Abh,3.DA.30,Trigonal,Trapezohedral,Colorless,None,2,White,4.42,,"Platy, thin crystals, cryptocrystalline crusts",
Abramovite,https://en.wikipedia.org/wiki/Abramovite,Pb2SnInBiS7,Pb<sub>2</sub>SnInBiS<sub>7</sub>,Abm,2.HF.25a,Triclinic,Pinacoidal,Silver gray,Perfect on {100},,Black,,Metallic,Encrustations - Forms crust-like aggregates on matrix,
Abswurmbachite,https://en.wikipedia.org/wiki/Abswurmbachite,"(Cu,Mn2+)Mn3+6O8SiO4","(Cu,Mn<sup>2+</sup>)Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>SiO<sub>4</sub>",Abs,9.AG.05,Tetragonal,Ditetragonal dipyramidal,Black,None,6.5,Brownish black,4.96 g/cm3,Metallic,,
Acanthite,https://en.wikipedia.org/wiki/Acanthite,Ag2S,Ag<sub>2</sub>S,Aca,2.BA.30a,Monoclinic,Prismatic,Iron-black,Indistinct,2.0 - 2.5,Black,7.20 - 7.22,Metallic,"Primary crystals rare, prismatic to long prismatic, elongated along [001], may be tubular; massive. Commonly paramorphic after the cubic high-temperature phase (“argentite”), of original cubic or octahedral habit",
Achávalite,https://en.wikipedia.org/wiki/Achavalite,"(Fe,Cu)Se","(Fe,Cu)Se",Ahv,2.CC.05,Hexagonal,Dihexagonal dipyramidal,Dark grey,,2.5,Grey-black,6.53,Metallic,,
Actinolite,https://en.wikipedia.org/wiki/Actinolite,Ca2(Mg4.5-2.5Fe2+0.5-2.5) Si8O22(OH)2,Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)<br/>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,Act,9.DE.10,Monoclinic,Prismatic,"pale to dark green, yellowish green and black. White or grey when in asbestos",perfect along {110}.,5–6,white,"3.00 (+0.10, -0.05)",vitreous to dull,"bladed, fibrous, radial",
Acuminite,https://en.wikipedia.org/wiki/Acuminite,SrAlF4OH·(H2O),SrAlF<sub>4</sub>OH·(H<sub>2</sub>O),Acu,3.CC.10,Monoclinic,Prismatic,White,Perfect on {001},3.5,,3295,Vitreous,Clusters of acute dipyramidal Spearhead shaped crystals,
Adamite,https://en.wikipedia.org/wiki/Adamite,Zn2AsO4OH,Zn<sub>2</sub>AsO<sub>4</sub>OH,Ad,8.BB.30,Orthorhombic,Dipyramidal,"Pale yellow, honey-yellow, brownish yellow, reddish; rarely white, colorless, blue, pale green to green, may be zoned;","{101}, good; {010}, poor",3.5,white to pale green,4.32–4.48 measured,Vitreous,Wedge-like prisms typically in druses and radiating clusters - also smooth botryoidal masses.,
Adamsite-(Y),https://en.wikipedia.org/wiki/Adamsite-(Y),NaY(CO3)2·6H2O,NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O,Ads-Y,5.CC.30,Triclinic,Pinacoidal,,,3.0,,,,,
